,title,id,revenue,budget,vote_average,vote_count,weighted_rating,genres,cast,gender,keywords,release_date,number of males,number of females,number of unknown,number of cast
2632,Pride & Prejudice,4348,121147947,28000000,7.8,1406.0,8.0,"['Drama', 'Romance']","['Keira Knightley', 'Matthew Macfadyen', 'Rosamund Pike']","[1, 2, 1, 2, 2, 1, 1, 2, 1, 1, 1, 1, 2, 1, 1, 0, 2, 1, 2]","['bachelor', 'beautiful', 'prejudice', 'suitor', 'period drama', 'georgian', 'pride', '18th century', 'opposites attract']",2005-09-16,7,11,1,19
2633,Wolf Creek,9885,27762648,1000000,6.1,288.0,6.0,"['Horror', 'Thriller']","['John Jarratt', 'Cassandra Magrath', 'Kestie Morassi']","[2, 0, 1, 2, 2, 0, 1]","['australian', 'tourist', 'backpacker', 'british']",2005-01-01,3,2,2,7
2634,Harry Potter and the Goblet of Fire,674,895921036,150000000,7.5,5758.0,7.0,"['Adventure', 'Fantasy', 'Family']","['Daniel Radcliffe', 'Rupert Grint', 'Emma Watson']","[2, 2, 1, 2, 2, 2, 2, 2, 1, 2, 2, 2, 1, 2, 1, 1, 2, 1, 2, 2, 2]","['magic', 'dying and death', 'broom', ""sorcerer's apprentice"", 'school of witchcraft', 'chosen one', 'black magic', 'boarding school', 'vision', 'tournament', 'teenager', 'wizard', 'teenage hero', 'based on young adult novel']",2005-11-05,15,6,0,21
2635,Walk the Line,69,186438883,28000000,7.3,732.0,7.0,"['Drama', 'Music', 'Romance']","['Joaquin Phoenix', 'Reese Witherspoon', 'Ginnifer Goodwin']","[2, 1, 1, 2, 2, 2, 2, 2, 0, 2, 2, 1, 2, 2, 1, 1, 0, 2, 2, 1, 1]","['germany', 'prison', 'music record', 'adultery', 'country music', 'guitar', 'loss of brother', 'concert', 'marriage', 'single', 'accident', '1960s']",2005-09-13,12,7,2,21
2636,Rent,1833,31670620,40000000,6.7,159.0,6.0,"['Drama', 'Romance']","['Anthony Rapp', 'Adam Pascal', 'Rosario Dawson']","[2, 2, 1, 2, 2, 1, 1, 2, 2, 2, 1, 2, 1]","['gay', 'sex', 'aids', 'musical', 'hiv', 'based on play or musical', 'african american', 'rock opera', 'missing person', 'hiv positive', 'home movie', 'mugging', 'telephone call \xa0', 'lower east side']",2005-11-23,8,5,0,13
2637,Zathura: A Space Adventure,6795,64321501,65000000,6.1,808.0,6.0,"['Family', 'Fantasy', 'Science Fiction', 'Adventure']","['Jonah Bobo', 'Josh Hutcherson', 'Dax Shepard']","[2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2]","['adventure', 'house', 'alien', 'giant robot', 'outer space', 'astronaut']",2005-11-06,10,1,0,11
2638,"Yours, Mine & Ours",13499,72028752,45000000,5.7,233.0,6.0,"['Comedy', 'Family', 'Romance']","['Dennis Quaid', 'Rene Russo', 'Sean Faris']","[2, 1, 2, 1, 2, 2, 1, 2, 1, 1, 2, 2, 1, 2, 2, 1, 2, 2, 2]","['big family', 'family', 'blended family']",2005-11-23,12,7,0,19
2639,Match Point,116,85306374,15000000,7.2,1134.0,7.0,"['Drama', 'Thriller', 'Crime', 'Romance']","['Jonathan Rhys Meyers', 'Scarlett Johansson', 'Emily Mortimer']","[2, 1, 1, 2, 1, 2, 2, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 0, 2, 1, 1]","['love triangle', 'london england', 'upper class', 'adultery', 'tennis', 'river thames', 'love', 'wealth', 'lust', 'instructor', 'gold digger', 'social climbing', 'actress']",2005-10-26,13,7,1,21
2640,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",411,748806957,180000000,6.7,2709.0,7.0,"['Adventure', 'Family', 'Fantasy']","['William Moseley', 'Anna Popplewell', 'Skandar Keynes']","[2, 1, 2, 1, 2, 1, 2, 2, 2, 2, 1, 1, 2, 0, 0, 2, 1, 2, 1, 2, 0]","['saving the world', 'witch', 'based on novel', 'brother sister relationship', 'self sacrifice', 'winter', 'cupboard', 'beaver', 'lion', 'fairy-tale figure', 'battle', 'narnia', 'fantasy world', 'duringcreditsstinger']",2005-12-07,11,7,3,21
2641,King Kong,254,550000000,207000000,6.6,2403.0,7.0,"['Adventure', 'Drama', 'Action']","['Naomi Watts', 'Jack Black', 'Adrien Brody']","[1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 2, 2, 0, 2, 2, 2, 0, 0]","['film business', 'screenplay', 'show business', 'film making', 'film producer', 'exotic island', 'monster', 'indigenous', 'ship', 'dinosaur']",2005-12-14,16,1,4,21
2642,Memoirs of a Geisha,1904,162242962,85000000,7.3,670.0,7.0,"['Drama', 'History', 'Romance']","['Zhang Ziyi', 'Gong Li', 'Youki Kudoh']","[1, 1, 1, 1, 1, 2, 1, 0, 2, 1, 1, 2, 0, 2, 2, 2, 0, 2, 2, 1, 1]","['japan', 'prostitute', 'sister sister relationship', 'brothel', 'world war ii', 'geisha']",2005-12-06,8,10,3,21
2643,Down,19058,163169,15000000,4.1,18.0,5.0,"['Action', 'Horror', 'Mystery', 'Thriller']","['James Marshall', 'Naomi Watts', 'Eric Thal']","[2, 1, 2, 2, 2, 2, 2, 1, 0, 2, 0, 2, 0]","['new york', 'terrorist', 'secret', 'nightmare', 'investigation', 'government', 'police', 'mystery', 'mechanic', 'blood', 'reporter', 'death', 'elevator', 'deadly', 'malfunction', 'incident', 'decapitated']",2001-05-11,8,2,3,13
2644,The Matador,9515,17297244,10000000,6.2,137.0,6.0,"['Action', 'Comedy', 'Crime', 'Drama', 'Thriller']","['Pierce Brosnan', 'Greg Kinnear', 'Hope Davis']","[2, 2, 1, 1, 2, 0, 0, 0, 0, 0, 2, 0, 0, 0, 2, 0, 0, 0, 2, 0]","['mexico city', 'midlife crisis', 'cocktail', 'independent film', 'stranger', 'hit man']",2005-05-12,6,2,12,20
2645,Mozart and the Whale,23478,84967,12000000,6.5,41.0,6.0,"['Comedy', 'Drama', 'Romance']","['Josh Hartnett', 'Radha Mitchell', 'Gary Cole']","[2, 1, 2, 1, 1, 2, 2, 1, 2, 0, 1, 2]","['autism', 'taxi driver']",2005-09-10,6,5,1,12
2646,The Three Burials of Melquiades Estrada,8053,12036149,15000000,7.0,180.0,7.0,"['Adventure', 'Crime', 'Drama', 'Mystery', 'Western']","['Tommy Lee Jones', 'Barry Pepper', 'Dwight Yoakam']","[2, 2, 2, 1, 1, 2, 2, 2, 1, 2, 1, 2, 2, 2, 2, 2]","['border patrol', 'united states\xe2\x80\x93mexico barrier', 'promise', 'desert']",2005-11-17,12,4,0,16
2647,Munich,612,130358911,70000000,7.0,706.0,7.0,"['Drama', 'Action', 'History', 'Thriller']","['Eric Bana', 'Daniel Craig', 'Ciar\xc3\xa1n Hinds']","[2, 2, 2, 2, 2, 1, 2, 1, 2, 2, 1, 1, 1, 2, 1, 0, 2, 2, 0]","['paris', 'assassination', 'israel', 'hotel room', '1970s', 'hostage', 'intelligence', 'olympic games', 'munich', 'mossad', 'israeli', 'palestinian', 'beirut', 'ailul al aswad', 'plo', 'bomb constructor', 'baader-meinhof group', 'olympian village', 'revenge']",2005-12-22,11,6,2,19
2648,The Producers,9899,38058335,45000000,6.1,153.0,6.0,"['Comedy', 'Music']","['Matthew Broderick', 'Uma Thurman', 'Will Ferrell']","[2, 1, 2, 1, 2, 2, 2, 1, 1, 2, 0, 0, 0, 0, 1, 2, 0, 0, 2, 2, 0]","['cheating', 'adolf hitler', 'success', 'music', 'blonde', 'funny nazi', 'producer', 'broadway musical', 'aftercreditsstinger', 'woman director']",2005-12-25,9,5,7,21
2649,Transamerica,546,13350369,1000000,6.9,149.0,7.0,['Drama'],"['Felicity Huffman', 'Kevin Zegers', 'Elizabeth Pe\xc3\xb1a']","[1, 2, 1, 0, 0, 2, 1, 1, 0, 2, 1, 2, 1]","['individual', 'gay', 'new york', 'usa', 'missionary', 'father son relationship', 'sexual identity', 'transsexuality', 'runaway', 'sexual abuse', 'waitress', 'parent child relationship', 'drug addiction', 'cocaine', ""women's sexual identity"", 'hustler', 'new identity', 'motel', 'therapist', 'porn actor', 'road trip', 'independent film', 'los angeles', 'transgender', 'stolen cars', 'hitchhike']",2005-12-23,4,6,3,13
2650,Rumor Has It...,2800,88933562,70000000,5.3,309.0,5.0,['Comedy'],"['Jennifer Aniston', 'Kevin Costner', 'Shirley MacLaine']","[1, 2, 1, 2, 2, 2, 2, 1, 2, 2, 1]","['ladykiller', 'daughter', 'family secrets', 'extramarital affair']",2005-12-23,7,4,0,11
2651,Cheaper by the Dozen 2,9641,129181830,60000000,5.8,542.0,6.0,['Comedy'],"['Steve Martin', 'Eugene Levy', 'Bonnie Hunt']","[2, 2, 1, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 2, 2]","['holiday', 'lake', 'big family', 'father', 'labor pain', 'rivalry', 'family holiday']",2005-12-21,15,6,0,21
2652,Fun with Dick and Jane,7552,202026112,100000000,5.9,639.0,6.0,['Comedy'],"['Jim Carrey', 'T\xc3\xa9a Leoni', 'Alec Baldwin']","[2, 1, 2, 2, 1, 2, 0, 2, 0, 1, 1, 1, 2, 2, 2]","['based on novel', 'desperation', 'robber', 'hold-up robbery', 'remake', 'suburbia', 'loss of job', 'humiliation', 'unemployment', 'bankruptcy', 'travel agent', 'riches to rags', 'bearer bonds', 'comeuppance']",2005-12-21,8,5,2,15
2653,Keeping Mum,9687,18564702,169000,6.5,165.0,6.0,['Comedy'],"['Rowan Atkinson', 'Kristin Scott Thomas', 'Maggie Smith']","[2, 1, 1, 2, 1, 2, 1, 1, 0, 2, 2, 0, 1, 2, 2, 2, 2, 2, 2, 2, 2]","['golf', 'planned murder', 'killer', 'housekeeper', 'extramarital affair', 'family conflict']",2005-12-02,13,6,2,21
2654,The New World,11400,30536013,30000000,6.4,336.0,6.0,"['Drama', 'History', 'Romance']","['Colin Farrell', ""Q'orianka Kilcher"", 'Christopher Plummer']","[2, 1, 2, 2, 2, 2, 2, 0, 2, 2, 0, 2, 2, 0, 2]","['chief', 'colonialism', 'new world']",2005-12-25,11,1,3,15
2655,District B13,10045,9584131,12000000,6.5,572.0,6.0,"['Action', 'Thriller', 'Science Fiction']","['David Belle', 'Cyril Raffaelli', ""Tony D'Amario""]","[2, 2, 0, 0, 0, 0, 0, 0, 0, 2, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 0]","['paris', 'bomb', 'vororte', 'dystopia', 'parkour', 'gang', 'undercover cop']",2004-11-09,5,0,16,21
2656,BloodRayne,168705,2405420,25000000,3.6,120.0,4.0,"['Action', 'Adventure', 'Fantasy', 'Horror']","['Kristanna Loken', 'Ben Kingsley', 'Michelle Rodriguez']","[1, 2, 1, 2, 2, 2, 1, 2, 2, 2, 2]","['vampire', 'vampire hunter', 'based on video game', 'romania']",2005-10-22,8,3,0,11
2657,Hostel,1690,80578934,4800000,5.7,913.0,6.0,['Horror'],"['Jay Hernandez', 'Derek Richardson', 'Eythor Gudjonsson']","[2, 2, 2, 1, 0, 2, 0, 0, 0, 0, 2, 0, 1, 2, 0]","['bathroom', 'sex', 'amsterdam', 'europe', 'brothel', 'slovakia', 'backpacker', 'horror', 'gore', 'blood', 'torture', 'business card', 'doberman', 'hostel', 'surgery', 'elite club', 'fingers']",2005-01-06,6,2,7,15
2658,Tristan & Isolde,9044,28000000,31000000,6.4,240.0,6.0,['Drama'],"['James Franco', 'Sophia Myles', 'Rufus Sewell']","[2, 1, 2, 2, 2, 2, 0, 2, 0, 2, 0, 2, 2, 2, 2, 2, 2, 0, 1, 1, 0]","['in love with enemy', 'castle', 'lovers', 'hostility', 'revenge', 'murder', 'knight', 'battle', 'middle ages']",2006-04-07,13,3,5,21
2659,Hoodwinked!,10982,51053787,15000000,6.0,491.0,6.0,"['Animation', 'Comedy', 'Family']","['Anne Hathaway', 'Glenn Close', 'Jim Belushi']","[1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","['wolf', 'suspicion', 'little red riding hood', 'investigation', 'burglary']",2005-12-16,13,2,0,15
2660,Underworld: Evolution,834,111340801,50000000,6.4,1548.0,6.0,"['Fantasy', 'Action', 'Science Fiction', 'Thriller']","['Kate Beckinsale', 'Scott Speedman', 'Tony Curran']","[1, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 1, 2, 0, 2, 2]","['budapest', 'key', 'vampire', 'light', 'werewolf', 'evolution', 'fang vamp']",2006-01-12,13,3,1,17
2661,Riding Alone for Thousands of Miles,14226,3752325,7500000,7.3,21.0,6.0,['Drama'],"['Ken Takakura', 'Shinobu Terajima', 'Kiichi Nakai']","[2, 1, 2, 0, 0, 0, 0]","['father son relationship', 'estranged father']",2005-12-22,2,1,4,7
2662,Revolution,12701,358574,28000000,5.3,22.0,5.0,"['Adventure', 'Drama', 'History', 'War']","['Al Pacino', 'Donald Sutherland', 'Nastassja Kinski']","[2, 2, 1, 1, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 1, 1, 2, 2, 2, 2, 0]","['rebel', 'chase', 'independence', 'british army', 'war', 'trapper', 'native american', '18th century', 'revolutionary war']",1985-12-25,15,5,1,21
2663,Bandidas,1969,10496317,35000000,5.8,319.0,6.0,"['Action', 'Comedy', 'Western', 'Crime']","['Pen\xc3\xa9lope Cruz', 'Salma Hayek', 'Dwight Yoakam']","[1, 1, 2, 2, 2, 0, 2, 2, 2, 0, 0, 0, 2, 0, 0, 0, 0]","['mexico', 'bank robber', 'revenge', 'best friend', 'bank robbery', 'bank vault', 'steam locomotive']",2006-01-18,7,2,8,17
2664,Big Momma's House 2,11565,138259062,40000000,5.4,376.0,5.0,"['Comedy', 'Crime']","['Martin Lawrence', 'Nia Long', 'Emily Procter']","[2, 1, 1, 2, 2, 1, 1, 1, 2]","['undercover', 'nanny', 'computer virus', 'stress', 'undercover agent', 'overweight woman', 'children', 'disguise', 'fbi agent', 'impersonation']",2006-01-26,4,5,0,9
2665,Nanny McPhee,11283,122489822,25000000,6.4,742.0,6.0,"['Fantasy', 'Comedy', 'Family']","['Emma Thompson', 'Colin Firth', 'Kelly Macdonald']","[1, 2, 1, 2, 1, 0, 0, 1, 1, 1, 1, 2, 1, 2]","['loss of mother', 'nanny', 'education', 'wizardry', 'children', 'single father']",2005-10-21,4,8,2,14
2666,Final Destination 3,9286,117719158,25000000,5.8,1000.0,6.0,"['Horror', 'Mystery']","['Mary Elizabeth Winstead', 'Ryan Merriman', 'Kris Lemche']","[1, 0, 2, 1, 2, 2, 1, 2, 1, 1, 1, 1, 2, 2, 1, 2, 0, 2]","['beheading', 'dying and death', 'stroke of fate']",2006-02-10,8,8,2,18
2667,Dave Chappelle's Block Party,292,11718595,3000000,6.5,29.0,6.0,"['Comedy', 'Documentary', 'Music']","['Dave Chappelle', 'Erykah Badu', 'Common']","[2, 1, 0, 2, 0, 0, 0, 0, 0, 0, 2, 1, 0, 2, 1]","['black people', 'hip-hop', 'block party', 'megaphone', 'classroom', 'brass band', 'stage']",2005-09-12,4,3,8,15
2668,Troll,33061,5450815,1100000,4.9,60.0,5.0,"['Fantasy', 'Horror']","['Noah Hathaway', 'Michael Moriarty', 'Julia Louis-Dreyfus']","[2, 2, 1, 1, 1, 2, 2, 2, 1, 2, 1]","['troll', 'potter']",1986-01-17,6,5,0,11
2669,Curious George,9975,69834815,50000000,6.1,109.0,6.0,"['Adventure', 'Animation', 'Comedy', 'Family']","['Will Ferrell', 'Drew Barrymore', 'David Cross']","[2, 1, 2, 2, 2, 2, 1, 2, 1, 2, 2, 2, 2, 2, 0, 2, 0, 0, 0, 1, 1]","['museum', 'product placement', 'balloon', 'jungle', 'monkey', 'family', 'prediction', 'cargo ship', 'curiosity']",2006-02-10,12,5,4,21
2670,Firewall,9754,82800000,45000000,5.6,270.0,6.0,['Thriller'],"['Harrison Ford', 'Paul Bettany', 'Virginia Madsen']","[2, 2, 1, 1, 2, 1, 2, 2, 2, 2, 1, 2, 2, 0, 0, 0, 2, 2, 2]","['bank', 'technology', 'blackmail', 'hacker', 'seattle', 'computer hacker', 'firewall']",2006-02-10,12,4,3,19
2671,When a Stranger Calls,10053,66966987,15000000,5.4,273.0,5.0,"['Horror', 'Thriller']","['Camilla Belle', 'Katie Cassidy', 'Tommy Flanagan']","[1, 1, 2, 2, 2, 2, 1, 2, 1, 2, 2, 1, 0, 0, 0, 2, 2, 1, 2, 0]","['babysitter', 'death of a friend', 'killer', 'strange person', 'call']",2006-02-03,10,6,4,20
2672,Tamara,10263,206871,4750000,5.1,64.0,5.0,"['Fantasy', 'Horror', 'Thriller']","['Jenna Dewan', 'Marc Devigne', 'Chad Faust']","[1, 0, 2, 0, 2, 0, 2, 1, 0, 0, 0, 0, 0, 0, 2, 0]","['vampire', 'dying and death', 'high school', 'revenge']",2005-05-12,4,2,10,16
2673,Freedomland,9959,14655628,37665000,5.2,71.0,5.0,"['Drama', 'Thriller', 'Crime', 'Mystery']","['Samuel L. Jackson', 'Julianne Moore', 'Edie Falco']","[2, 1, 1, 1, 2, 2, 2, 2, 2, 2, 0, 1, 0, 0, 0, 0, 0, 2, 2, 2, 2]","['black people', 'new jersey', 'lie', 'psychological stress', 'baby-snatching', 'psychopathy', 'xenophobia', 'psychiatric']",2006-02-17,11,4,6,21
2674,Winter Passing,14256,113783,3500000,6.7,28.0,6.0,"['Comedy', 'Drama']","['Zooey Deschanel', 'Will Ferrell', 'Ed Harris']","[1, 2, 2, 1, 1, 2, 1, 1, 0, 2, 0, 2, 2, 1, 2]","['independent film', 'book editor']",2006-02-07,7,6,2,15
2675,Eight Below,9036,120455994,40000000,6.7,553.0,7.0,"['Adventure', 'Drama', 'Family']","['Paul Walker', 'Bruce Greenwood', 'Moon Bloodgood']","[2, 2, 1, 2, 2, 2, 1]","['expedition', 'pilot', 'survival', 'sled dogs', 'seal']",2006-02-17,5,2,0,7
2676,Date Movie,10073,48548426,20000000,3.6,225.0,4.0,['Comedy'],"['Alyson Hannigan', 'Adam Campbell', 'Sophie Monk']","[1, 2, 1, 1, 2, 1, 2, 1, 2, 1, 2, 0, 2, 1, 0, 0, 2, 1, 2, 0, 1]","['date', 'diary', 'parents-in-law', 'bridegroom', 'wedding']",2006-02-17,8,9,4,21
2677,Running Scared,7304,9500000,17000000,7.0,332.0,7.0,"['Action', 'Crime', 'Drama', 'Thriller']","['Paul Walker', 'Cameron Bright', 'Vera Farmiga']","[2, 2, 1, 2, 2, 2, 1, 2, 2, 2, 1, 2, 0, 1, 2]","['ice hockey', 'racism', 'pedophile', 'throat slitting', 'shot in the stomach', 'head blown off', 'police investigation', 'pistol whip', 'shot in the shoulder', 'child uses gun', 'ankle holster', 'breaking finger']",2006-01-06,10,4,1,15
2678,Madea's Family Reunion,16781,57231524,6000000,6.0,77.0,6.0,"['Drama', 'Comedy', 'Romance']","['Tyler Perry', 'Blair Underwood', 'Lynn Whitfield']","[2, 2, 1, 2, 0, 1, 1, 1, 1, 1, 2, 1, 0, 0, 0, 0, 1, 2, 0, 2, 0]","['spanking', 'based on play or musical']",2006-02-24,6,8,7,21
2679,Ultraviolet,9920,31070211,30000000,4.8,468.0,5.0,"['Science Fiction', 'Action', 'Thriller']","['Milla Jovovich', 'Cameron Bright', 'Nick Chinlund']","[1, 2, 2, 2, 0, 2, 0, 0, 0, 0, 0, 2, 2, 2, 1, 0, 0, 0, 0, 0, 2]","['skyscraper', 'vampire', 'victim', 'dystopia', 'boy', 'doctor', 'violence', 'one woman army', 'hemophagia', 'stamina', 'totalitarian', 'antigen', 'cure', 'strength', 'biological warfare', 'lab technician', 'rooftop fight', 'gravity', 'light sensitivity']",2006-03-03,8,2,11,21
2680,Just My Luck,10025,38159905,28000000,5.8,512.0,6.0,"['Comedy', 'Drama', 'Family', 'Fantasy', 'Romance']","['Lindsay Lohan', 'Samaire Armstrong', 'Chris Pine']","[1, 1, 2, 1, 1, 1, 2, 2, 2, 0, 0, 0, 1, 2, 1, 0, 0, 0, 2, 2, 1]","['jinx', 'bad luck', 'kiss', 'romantic comedy', 'alcohol abuse', 'celebration', 'envy', 'luck', 'mysterious stranger', 'masquerade']",2006-05-12,7,8,6,21
2681,Pulse,9682,29907685,38000000,5.0,154.0,5.0,"['Horror', 'Thriller']","['Kristen Bell', 'Ian Somerhalder', 'Christina Milian']","[1, 2, 1, 2, 2, 2, 1, 2, 2, 2, 2, 1, 2, 2, 2]","['suicide', 'hacker', 'death of a friend', 'website', 'remake']",2006-08-11,11,4,0,15
2682,16 Blocks,2207,65664721,55000000,6.2,675.0,6.0,"['Action', 'Adventure', 'Crime', 'Thriller']","['Bruce Willis', 'Yasiin Bey', 'David Morse']","[2, 2, 2, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 2, 0]","['mission of murder', 'male bonding', 'doing the right thing', 'people change']",2006-03-01,18,0,3,21
2683,Failure to Launch,6877,128406887,50000000,5.5,407.0,5.0,['Comedy'],"['Matthew McConaughey', 'Sarah Jessica Parker', 'Zooey Deschanel']","[2, 1, 1, 2, 2, 2, 1, 2, 1, 2, 2, 2]","['hotel mom', 'romantic comedy', 'lying', 'living with parents', 'pretend relationship']",2006-03-10,8,4,0,12
2684,Ice Age: The Meltdown,950,660940780,80000000,6.5,3034.0,6.0,"['Animation', 'Family', 'Comedy', 'Adventure']","['Ray Romano', 'John Leguizamo', 'Denis Leary']","[2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 0, 0, 2, 0, 0, 1, 1, 2, 0, 1, 2]","['mammoth', 'sloth', 'ice age', 'barrier ice', 'ice melting', 'iceberg', 'flooding', 'adventure', 'lovers', 'deluge', 'saber-toothed tiger']",2006-03-23,12,4,5,21
2685,V for Vendetta,752,132511035,54000000,7.7,4562.0,8.0,"['Action', 'Thriller', 'Fantasy']","['Natalie Portman', 'Hugo Weaving', 'Stephen Rea']","[1, 2, 2, 2, 2, 2, 1, 2, 2, 2, 1, 2, 2, 1, 2, 1, 0, 0, 0, 0, 2]","['detective', 'vatican', 'fascism', 'satanism', 'fascist', 'dystopia', 'government', 'chancellor', 'revenge', 'personification of satan', 'torture', 'hatred', 'masked vigilante', 'catholicism', 'catholic priest', 'catholic guilt', 'jesuit', 'vengeful spirit', 'activist', 'irish catholic', 'vengeful', 'jesuit priest', 'gnosticism', 'occultism']",2006-03-15,12,5,4,21
2686,She's the Man,9655,33889159,20000000,6.4,691.0,6.0,"['Comedy', 'Drama', 'Family', 'Romance']","['Amanda Bynes', 'Channing Tatum', 'Laura Ramsey']","[1, 2, 1, 2, 2, 1, 2, 1, 2, 1, 1, 2, 0, 2, 2]","['roommate', 'twin sister', 'sport', 'boarding school', 'twin brother', 'mistaken identity', 'soccer', 'teenager', 'teen comedy', 'tomboy', 'fake identity', 'disguised voice', 'the big game']",2006-03-17,8,6,1,15
2687,Thank You for Smoking,9388,24793509,6500000,7.1,670.0,7.0,"['Comedy', 'Drama']","['Aaron Eckhart', 'Maria Bello', 'Cameron Bright']","[2, 1, 2, 2, 2, 1, 2, 2, 2, 2, 2, 1, 1, 1, 1, 2, 2, 1, 2, 0, 2]","['father son relationship', 'capitalism', 'based on novel', 'smoking', 'lie', 'cigarette', 'research', 'law', 'health', 'marketing', 'politics', 'politician', 'tobacco', 'liar', 'dark comedy', 'cancer', 'independent film', 'money', 'morality', 'social satire', 'cigarette smoking', 'business', 'advertising', 'guilt', 'humiliation', 'lobby', 'bribe', 'corporation', 'lung cancer', 'lobbyist', 'tobacco industry', 'nicotine']",2005-09-05,13,7,1,21
2688,Find Me Guilty,9950,2636637,13000000,6.5,139.0,6.0,['Drama'],"['Vin Diesel', 'Alex Rocco', 'Frank Pietrangolare']","[2, 2, 2, 0, 2, 2, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 2, 0, 0, 0]","['court case', 'staatsanw\xc3\xa4ltin', 'family clan', 'gangster']",2006-03-16,11,0,9,20
2689,Inside Man,388,184376254,45000000,7.3,1671.0,7.0,"['Crime', 'Drama', 'Thriller']","['Denzel Washington', 'Clive Owen', 'Jodie Foster']","[2, 2, 1, 2, 2, 2, 1, 2, 0, 2, 0, 2, 2, 1, 2, 1, 0, 0, 2, 1, 2]","['bank manager', 'kidnapping', 'nazi background', 'document', 'ultimatum', 'court case', 'heist', 'financial transactions']",2006-03-23,12,5,4,21
2690,Tsotsi,868,9879971,3000000,6.9,96.0,6.0,"['Crime', 'Drama']","['Presley Chweneyagae', 'Jerry Mofokeng', 'Terry Pheto']","[2, 2, 1, 2, 0, 0, 2, 0, 2, 2, 0, 2, 2, 0, 2, 2]","['slum', 'baby', 'fight', 'nudity', 'leader', 'johannesburg', 'police', 'love', 'friends', 'murder', 'gang', 'teenager', 'violence', 'criminal', 'hijack']",2005-08-18,10,1,5,16
2691,Aquamarine,14191,23006849,12000000,5.8,372.0,6.0,"['Fantasy', 'Romance', 'Family', 'Comedy']","['Emma Roberts', ""Joanna 'JoJo' Levesque"", 'Sara Paxton']","[1, 0, 1, 2, 1, 1, 2, 1, 2, 1, 2, 1, 1, 1, 2, 2, 0, 1, 2, 2, 1]","['female friendship', 'mermaid', 'teenager', 'woman director']",2006-03-03,8,11,2,21
2692,Leprechaun 2,18009,2260622,2000000,4.8,51.0,5.0,"['Comedy', 'Horror']","['Warwick Davis', 'Charlie Heath', 'Shevonne Durkin']","[2, 2, 1, 2, 2, 2, 0, 1, 1, 2]","['leprechaun', 'slasher']",1994-04-07,6,3,1,10
2693,Lights in the Dusk,1379,1615018,1380000,6.6,27.0,6.0,"['Crime', 'Drama']","['Janne Hyyti\xc3\xa4inen', 'Maria Heiskanen', 'Maria J\xc3\xa4rvenhelmi']","[0, 0, 0, 2, 1, 0]","['prison', 'night watchman', 'helsinki', ""love of one's life"", 'despair', 'loser', 'friendship', 'unsociability', 'teacher', 'wrongful arrest']",2006-02-03,1,1,4,6
2694,The Hills Have Eyes,9792,69623713,15000000,6.1,726.0,6.0,"['Horror', 'Thriller']","['Aaron Stanford', 'Kathleen Quinlan', 'Vinessa Shaw']","[2, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 0]","['ambush', 'rape', 'gas station', 'new mexico', 'van', 'gore', 'serial killer', 'slasher', 'brutality', 'killer', 'desert', 'family holiday', 'madness', 'axe in the head', 'ghost town', 'cannibalism', 'nuclear testing', 'stranded in the desert', 'graphic violence', 'human monster']",2006-03-10,10,4,1,15
2695,The Shaggy Dog,10067,61112916,50000000,4.5,138.0,5.0,"['Comedy', 'Family']","['Tim Allen', 'Kristin Davis', 'Danny Glover']","[2, 1, 2, 2, 2, 1, 2, 1, 1, 2, 1, 2, 2, 2, 2, 2, 1, 1, 0, 2, 2]","['father son relationship', 'parent child relationship', 'workaholic', 'wife husband relationship', 'transformation', 'body exchange', 'daughter', 'lawyer', 'dog', 'family', 'turns into animal']",2006-03-09,13,7,1,21
